dna_ID,Country,Site,Region,Date,Latitude,Longitude,Sex,combo_prs,asMales_prs,asFemales_prs,sexspec_prs
I4062,Italy,Fossato di Stretto Partana,mediterranean,6815,37.72,12.92,F,0.042823951,0.204486017,1.257837957,0.172572923
I4063,Italy,Fossato di Stretto Partana,mediterranean,6832,37.72,12.92,F,-0.125172114,-0.264378007,0.178982489,-0.279955716
I4064,Italy,Fossato di Stretto Partana,mediterranean,6718,37.72,12.92,M,1.379544336,0.682757302,1.256427369,1.296200994
I4065,Italy,Fossato di Stretto Partana,mediterranean,6815,37.72,12.92,F,-0.685110231,-0.115983127,-0.412568588,-0.136730965
I7550,Spain,Campo de Hockey,mediterranean,6100,36.45,-6.21,F,0.003876823,1.129460141,0.849035393,1.065320627
I8134,Spain,Campo de Hockey,mediterranean,6100,36.45,-6.21,F,0.225222001,0.270242719,0.42973649,0.236038639
LON003,Italy,Grutta I de Longu Fresu,mediterranean,6274,39.87,9.24,M,0.656452537,0.826342225,1.342882485,1.382951443
MA79,Italy,Grutta I de Longu Fresu,mediterranean,6045,39.87,9.24,F,-0.413406871,-0.686327739,-0.995674055,-0.687204573
mur.SG,Spain,Murciélagos de Zuheros,mediterranean,7127,37.54,-4.3,M,1.727480685,0.215336527,0.743089812,0.781109862
NOE001,Italy,Noeddale,mediterranean,6090,40.67,8.59,M,0.111859199,0.380717465,-0.706071875,-0.673002197
NOE002,Italy,Noeddale,mediterranean,6132,40.67,8.59,M,0.133332136,-0.021012845,-0.359671539,-0.325418549
R10.SG,Italy,Grotta Continenza,mediterranean,7628,41.96,13.54,F,0.125968593,0.331694079,-0.380268404,0.295349011
R1014.SG,Italy,Monte San Biagio,mediterranean,7074,41.37,13.29,M,1.980043709,1.3085807,2.105656708,2.148331322
R16.SG,Italy,Ripabianca di Monterado ,mediterranean,7202,43.72,13.03,F,0.219158862,0.84430788,1.116428957,0.79010317
R17.SG,Italy,Ripabianca di Monterado ,mediterranean,7216,43.72,13.03,M,2.300627665,2.257168844,0.802988491,0.841213158
R18.SG,Italy,Ripabianca di Monterado ,mediterranean,7271,43.72,13.03,F,-2.072593548,-2.732062754,-2.239825674,-2.661665471
R19.SG,Italy,Ripabianca di Monterado ,mediterranean,7146,43.72,13.03,M,0.094580068,1.155713144,0.222839396,0.259082258
R2.SG,Italy,Grotta Continenza,mediterranean,7981,41.96,13.54,F,0.361715755,0.866321777,0.709302483,0.811350095
R3.SG,Italy,Grotta Continenza,mediterranean,7716,41.96,13.54,F,-0.133250879,0.134118938,0.748509011,0.104657457
R6.SG,Italy,Grotta Continenza,mediterranean,7202,41.96,13.54,M,-0.131381547,0.186070654,2.452032611,2.495890453
R8.SG,Italy,Grotta Continenza,mediterranean,7708,41.96,13.54,F,0.112834503,1.413610146,0.202152944,1.339570748
R9.SG,Italy,Grotta Continenza,mediterranean,7481,41.96,13.54,M,0.734769426,0.742616382,0.44893254,0.485947742
SID005,Italy,S'isteridolzu,mediterranean,6095,40.62,8.64,M,1.066297915,1.350900302,0.563243103,0.600648793
TOR.11.SG,Spain,El Toro,mediterranean,6896,39.48,2.48,F,-0.718839484,-0.353796663,0.061273321,-0.366258995
TOR.6.SG,Spain,El Toro,mediterranean,6900,39.48,2.48,F,-0.999190536,-0.860885856,-0.933012023,-0.855681024
TOR.7.SG,Spain,El Toro,mediterranean,6900,39.48,2.48,F,-1.243406586,-1.111310386,-1.042039397,-1.097380677
TOR.8.SG,Spain,El Toro,mediterranean,6900,39.48,2.48,F,0.469633111,0.293704222,0.848962094,0.258682735
DER002,Germany,Derenburg,North Central,7000,51.87,10.91,M,0.086891424,0.792915683,-0.315741334,-0.281338277
DER003,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.265274492,0.280143264,-0.342340528,0.245594245
DER004,Germany,Derenburg,North Central,7000,51.87,10.91,M,-0.653071504,-1.310872608,-0.330205562,-0.295851915
DER005,Germany,Derenburg,North Central,7000,51.87,10.91,F,1.260729587,0.473726812,0.374770796,0.432433275
DER006,Germany,Derenburg,North Central,7000,51.87,10.91,M,0.09763602,1.411966446,-0.331435347,-0.297085901
DER007,Germany,Derenburg,North Central,7000,51.87,10.91,F,0.987524259,-0.206909525,0.999690586,-0.224489456
DER008,Germany,Derenburg,North Central,7000,51.87,10.91,M,NA,NA,NA,NA
DER009,Germany,Derenburg,North Central,7000,51.87,10.91,M,-0.680006141,-0.825806899,-1.398848113,-1.368144976
DER010,Germany,Derenburg,North Central,7000,51.87,10.91,F,1.47088478,1.168562937,0.061745689,1.103061068
DER011,Germany,Derenburg,North Central,7000,51.87,10.91,M,1.441676059,1.073582196,1.034291527,1.07330633
DER012,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.171677846,0.728670209,0.562286966,0.678494356
DER013,Germany,Derenburg,North Central,7000,51.87,10.91,M,-0.334553566,-1.078915732,-0.885221433,-0.852763735
DER014,Germany,Derenburg,North Central,7000,51.87,10.91,M,-0.605054051,-0.24760983,-0.779101565,-0.746281358
DER015,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.21359965,-0.841598966,0.186263469,-0.837066097
DER017,Germany,Derenburg,North Central,7000,51.87,10.91,M,0.039215327,-1.076022263,-0.227709894,-0.19300612
DER018,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.13199924,1.02671671,0.408724268,0.966156813
DER019,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.25165275,-0.771388762,0.327297833,-0.76930204
DER020,Germany,Derenburg,North Central,7000,51.87,10.91,M,-0.533970665,-0.357369924,-0.736002075,-0.70303464
DER021,Germany,Derenburg,North Central,7000,51.87,10.91,M,1.677844228,0.637717665,1.984843758,2.027105671
DER022,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.567391072,-0.000714984,0.435429337,-0.025478804
DER023,Germany,Derenburg,North Central,7000,51.87,10.91,F,0.032843343,-0.375488967,-0.780852583,-0.387195532
DER024,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.98703175,-2.505587783,-1.4819767,-2.443080966
DER026,Germany,Derenburg,North Central,7000,51.87,10.91,M,0.443885093,-0.55335017,-0.794754856,-0.761988122
DER028,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.388552881,-0.587226419,-0.513940346,-0.591555978
DER029,Germany,Derenburg,North Central,7000,51.87,10.91,F,NA,NA,NA,NA
DER030,Germany,Derenburg,North Central,7000,51.87,10.91,M,1.131259644,0.854744414,0.247907466,0.284235961
DER031,Germany,Derenburg,North Central,7000,51.87,10.91,M,1.215787592,0.974466931,1.883008591,1.924922633
DER032,Germany,Derenburg,North Central,7000,51.87,10.91,M,0.626380673,-0.217193542,0.839173493,0.877521768
DER033,Germany,Derenburg,North Central,7000,51.87,10.91,F,-1.27710333,-2.046388992,-2.599159114,-1.99988082
DER034,Germany,Derenburg,North Central,7000,51.87,10.91,F,1.609699757,1.432709134,0.925101268,1.358004321
DER035,Germany,Derenburg,North Central,7000,51.87,10.91,F,0.319842716,1.132058162,0.428702168,1.067828133
