dna_ID,PC1,PC2,Ethnicity,Region
HGDP00685,-0.0572,-0.0143,Palestinian,modern
HGDP00686,-0.0479,-0.0091,Palestinian,modern
HGDP00687,-0.0469,-0.0031,Palestinian,modern
HGDP00688,-0.0394,-7.00E-04,Palestinian,modern
HGDP00689,-0.0447,-0.0043,Palestinian,modern
HGDP00690,-0.046,-0.0027,Palestinian,modern
HGDP00691,-0.048,-0.0081,Palestinian,modern
HGDP00694,-0.0434,-0.0011,Palestinian,modern
HGDP00696,-0.0438,0.0019,Palestinian,modern
HGDP00697,-0.0473,-0.0103,Palestinian,modern
HGDP00698,-0.0455,-0.0035,Palestinian,modern
HGDP00699,-0.0427,-0.003,Palestinian,modern
HGDP00700,-0.0478,-0.0103,Palestinian,modern
HGDP00701,-0.0787,-0.0715,BedouinB,modern
HGDP00722,-0.0416,-0.0014,Palestinian,modern
HGDP00724,-0.0478,-0.0028,Palestinian,modern
HGDP00725,-0.0454,-0.0016,Palestinian,modern
HGDP00726,-0.0504,-0.0063,Palestinian,modern
HGDP00727,-0.0451,-0.0036,Palestinian,modern
HGDP00729,-0.0489,-0.0065,Palestinian,modern
HGDP00730,-0.0451,-0.0013,Palestinian,modern
HGDP00731,-0.0589,-0.0141,Palestinian,modern
HGDP00732,-0.0493,-0.0084,Palestinian,modern
HGDP00733,-0.0486,-0.0058,Palestinian,modern
HGDP00734,-0.0456,-0.0011,Palestinian,modern
HGDP00735,-0.0458,-0.0042,Palestinian,modern
HGDP00736,-0.0419,-5.00E-04,Palestinian,modern
HGDP00737,-0.0517,-0.0081,Palestinian,modern
HGDP00739,-0.0508,-0.0078,Palestinian,modern
HGDP00740,-0.0441,-0.0058,Palestinian,modern
HGDP00741,-0.0427,-0.0055,Palestinian,modern
HGDP00745,-0.0423,8.00E-04,Palestinian,modern
HGDP00794,0.0405,-0.0084,Orcadian,modern
HGDP00796,0.0405,-0.0085,Orcadian,modern
HGDP00797,0.0409,-0.0102,Orcadian,modern
HGDP00798,0.0394,-0.0066,Orcadian,modern
HGDP00799,0.0437,-0.0089,Orcadian,modern
HGDP00800,0.0415,-0.0091,Orcadian,modern
HGDP00802,0.0428,-0.0098,Orcadian,modern
HGDP00803,0.0404,-0.0072,Orcadian,modern
HGDP00805,0.0429,-0.0082,Orcadian,modern
HGDP00806,0.0406,-0.0092,Orcadian,modern
HGDP00807,0.0424,-0.0078,Orcadian,modern
HGDP00808,0.042,-0.0102,Orcadian,modern
HGDP00810,0.0397,-0.0077,Orcadian,modern
HGDP00879,0.0445,0.0122,Russian,modern
HGDP00880,0.0455,0.0121,Russian,modern
HGDP00882,0.0453,0.0122,Russian,modern
HGDP00883,0.0495,0.0104,Russian,modern
HGDP00884,0.0449,0.0067,Russian,modern
HGDP00887,0.043,0.0081,Russian,modern
HGDP00888,0.0429,0.0076,Russian,modern
HGDP00889,0.0451,0.0106,Russian,modern
HGDP00890,0.0478,0.011,Russian,modern
HGDP00891,0.0442,0.0129,Russian,modern
HGDP00892,0.0484,0.01,Russian,modern
HGDP00893,0.0468,0.0125,Russian,modern
HGDP00894,0.0433,0.0114,Russian,modern
HGDP00895,0.0464,0.0102,Russian,modern
HGDP00896,0.0437,0.0134,Russian,modern
HGDP00897,0.0445,0.0125,Russian,modern
HGDP00898,0.0463,0.0164,Russian,modern
HGDP00899,0.0433,0.0127,Russian,modern
HGDP00900,0.0447,0.0066,Russian,modern
HGDP00901,0.0447,0.0099,Russian,modern
HGDP00902,0.0442,0.013,Russian,modern
HGDP00903,0.0464,0.0087,Russian,modern
HGDP01062,0.0098,-0.0426,Sardinian,modern
HGDP01063,0.0098,-0.0423,Sardinian,modern
HGDP01064,0.0096,-0.0458,Sardinian,modern
HGDP01065,0.0132,-0.0434,Sardinian,modern
HGDP01066,0.0109,-0.0489,Sardinian,modern
HGDP01067,0.0071,-0.042,Sardinian,modern
HGDP01068,0.0073,-0.0373,Sardinian,modern
HGDP01069,0.0119,-0.0433,Sardinian,modern
HGDP01070,0.0094,-0.0425,Sardinian,modern
HGDP01071,0.0088,-0.0407,Sardinian,modern
HGDP01072,0.007,-0.0389,Sardinian,modern
HGDP01073,0.01,-0.041,Sardinian,modern
HGDP01074,0.0102,-0.0414,Sardinian,modern
HGDP01075,0.0079,-0.0439,Sardinian,modern
HGDP01076,0.0097,-0.0404,Sardinian,modern
HGDP01077,0.0108,-0.0367,Sardinian,modern
HGDP01078,0.0109,-0.0386,Sardinian,modern
HGDP01079,0.012,-0.0426,Sardinian,modern
HGDP01147,0.0198,-0.0119,Italian_North,modern
HGDP01151,0.0217,-0.0154,Italian_North,modern
HGDP01152,0.0148,-0.0127,Italian_North,modern
HGDP01153,0.0172,-0.0141,Italian_North,modern
HGDP01155,0.0153,-0.0125,Italian_North,modern
HGDP01156,0.0166,-0.0165,Italian_North,modern
HGDP01157,0.019,-0.0098,Italian_North,modern
HGDP01161,0.0094,-0.011,Italian_North,modern
HGDP01162,0.0094,-0.0064,Italian_North,modern
HGDP01163,0.0111,-0.0055,Italian_North,modern
HGDP01164,0.0111,-0.0122,Italian_North,modern
HGDP01166,0.0116,-0.0101,Italian_North,modern
HGDP01167,0.0099,-0.0081,Italian_North,modern
HGDP01168,0.0115,-0.0073,Italian_North,modern
HGDP01169,0.009,-0.008,Italian_North,modern
HGDP01171,0.0163,-0.0133,Italian_North,modern
HGDP01172,0.0148,-0.0091,Italian_North,modern
HGDP01173,0.0196,-0.0133,Italian_North,modern
HGDP01174,0.014,-0.0149,Italian_North,modern
HGDP01177,0.0192,-0.0151,Italian_North,modern
HGDP01357,0.033,-0.039,Basque,modern
HGDP01358,0.0348,-0.0411,Basque,modern
HGDP01359,0.0364,-0.039,Basque,modern
HGDP01360,0.0412,-0.0444,Basque,modern
HGDP01362,0.0363,-0.0396,Basque,modern
HGDP01363,0.036,-0.039,Basque,modern
HGDP01364,0.0306,-0.0368,Basque,modern
HGDP01365,0.0339,-0.0387,Basque,modern
HGDP01366,0.0359,-0.0388,Basque,modern
HGDP01367,0.0379,-0.0375,Basque,modern
HGDP01368,0.0333,-0.0329,Basque,modern
HGDP01370,0.0354,-0.0404,Basque,modern
HGDP01371,0.0374,-0.0353,Basque,modern
HGDP01373,0.0348,-0.0412,Basque,modern
HGDP01374,0.0356,-0.0445,Basque,modern
HGDP01375,0.034,-0.0389,Basque,modern
HGDP01377,0.0353,-0.0386,Basque,modern
HGDP01378,0.0356,-0.0377,Basque,modern
HGDP01379,0.0367,-0.0414,Basque,modern
HGDP01380,0.0354,-0.0424,Basque,modern
HGDP01381,8.00E-04,0.0542,Adygei,modern
HGDP01382,-7.00E-04,0.0487,Adygei,modern
HGDP01383,-0.002,0.0475,Adygei,modern
HGDP01385,-6.00E-04,0.0482,Adygei,modern
HGDP01386,-0.0027,0.0487,Adygei,modern
HGDP01387,-0.0019,0.0495,Adygei,modern
HGDP01396,0.0088,0.039,Adygei,modern
HGDP01397,5.00E-04,0.0495,Adygei,modern
HGDP01398,-0.006,0.0533,Adygei,modern
HGDP01399,-0.0033,0.0509,Adygei,modern
HGDP01400,-0.0037,0.0499,Adygei,modern
HGDP01401,-0.0033,0.0505,Adygei,modern
HGDP01402,0.0025,0.0485,Adygei,modern
HGDP01403,-0.0019,0.0426,Adygei,modern
HGDP01404,-0.0056,0.0535,Adygei,modern
BulgarianD6,0.0223,1.00E-04,Bulgarian,modern
BulgarianA4,0.0228,-0.0018,Bulgarian,modern
hungary3,0.0307,-0.0043,Hungarian,modern
LithuanianF1,0.0568,-0.0036,Lithuanian,modern
iran19,-0.0204,0.0332,Iranian,modern
iran14,-0.0164,0.0355,Iranian,modern
syria464,-0.0459,0.0041,Syrian,modern
Lebanon5,-0.0528,-0.0085,Lebanese,modern
Jordan543,-0.0414,-0.005,Jordanian,modern
BulgarianE2,0.0202,3.00E-04,Bulgarian,modern
BulgarianB4,0.0165,0.0038,Bulgarian,modern
hungary6,0.0313,-0.0051,Hungarian,modern
lithuania3,0.0499,-0.0022,Lithuanian,modern
iran2,-0.0182,0.0423,Iranian,modern
iran20,-0.0221,0.0372,Iranian,modern
syria361,-0.0215,0.0222,Syrian,modern
Lebanon6,-0.0256,0.0226,Lebanese,modern
SaudiA5,-0.0678,-0.0343,Saudi,modern
Jordan214,-0.0375,0.001,Jordanian,modern
BulgarianA1,0.0167,0.0021,Bulgarian,modern
HungarianC5,0.0357,3.00E-04,Hungarian,modern
hungary7,0.0355,4.00E-04,Hungarian,modern
lithuania10,0.0563,0.0012,Lithuanian,modern
iran3,-0.0247,0.0347,Iranian,modern
syria485,-0.0308,0.005,Syrian,modern
Lebanon7,-0.032,0.0031,Lebanese,modern
SaudiA6,-0.0527,-0.0121,Saudi,modern
Jordan445,-0.0389,-6.00E-04,Jordanian,modern
BulgarianB1,0.0191,-0.0024,Bulgarian,modern
HungarianE5,0.034,-0.0027,Hungarian,modern
HungarianH3,0.0343,-0.0047,Hungarian,modern
lithuania9,0.0536,-0.0026,Lithuanian,modern
syria520,-0.0418,-0.0058,Syrian,modern
syria4,-0.0338,0.0044,Syrian,modern
Lebanon8,-0.0259,0.0166,Lebanese,modern
SaudiA7,-0.032,0.0061,Saudi,modern
Jordan62,-0.0505,-0.0039,Jordanian,modern
BulgarianC1,0.0136,0.0012,Bulgarian,modern
hungary15,0.0318,-0.001,Hungarian,modern
LithuanianA1,0.054,-0.0048,Lithuanian,modern
LithuanianE2,0.0509,-0.0019,Lithuanian,modern
iran11,-0.0178,0.0421,Iranian,modern
syria461,-0.0528,0.0026,Syrian,modern
Lebanon1,-0.0314,0.009,Lebanese,modern
saudi1434,-0.0634,-0.0339,Saudi,modern
Jordan603,-0.0416,-0.0013,Jordanian,modern
BulgarianF1,0.0203,0.0028,Bulgarian,modern
