WHG EF ID Region Sex
1e-05 0.99999 I1101 anatoliaEF M
1e-05 0.99999 I1097 anatoliaEF M
1e-05 0.99999 I0744 anatoliaEF M
1e-05 0.99999 I1096 anatoliaEF M
1e-05 0.99999 I1098 anatoliaEF F
1e-05 0.99999 I0708 anatoliaEF M
1e-05 0.99999 I0745 anatoliaEF M
1e-05 0.99999 I0707 anatoliaEF F
1e-05 0.99999 I0709 anatoliaEF M
1e-05 0.99999 I0736 anatoliaEF F
0.081544 0.918456 I0412 mediterranean M
0.054863 0.945137 I0410 mediterranean M
0.092421 0.907579 I0413 mediterranean F
0.99999 1e-05 Villabruna HG M
0.134269 0.865731 CB13.SG mediterranean F
0.99999 1e-05 I2158_published HG F
0.99999 1e-05 Bichon.SG HG M
1e-05 0.99999 I3498 balkan M
1e-05 0.99999 I3879 balkan M
0.073919 0.926081 I4088 balkan F
0.015882 0.984118 I4167 balkan M
0.002093 0.997907 I4168 balkan F
0.058151 0.941849 I1972 mediterranean F
0.013263 0.986737 I2509 balkan F
1e-05 0.99999 I2519 balkan F
1e-05 0.99999 I2532 balkan M
1e-05 0.99999 I2533 balkan F
0.99999 1e-05 I2534 HG F
0.284738 0.715262 I0700 balkan M
1e-05 0.99999 I0704_published balkan F
0.144649 0.855351 I0706 balkan M
0.281764 0.718236 I1108 balkan M
0.068972 0.931028 I1109 balkan F
0.252216 0.747784 I1113 balkan F
0.166356 0.833644 I1295 balkan M
0.213127 0.786873 I1296_published balkan M
0.17945 0.82055 I1297 balkan F
0.225053 0.774947 I2181_published balkan M
0.176676 0.823324 I2215_published balkan M
0.018289 0.981711 I2216_published balkan F
0.060194 0.939806 I2423 balkan F
0.059509 0.940491 I2424 balkan F
0.044708 0.955292 I2425 balkan F
0.114469 0.885531 I2426_published balkan M
0.071559 0.928441 I2430 balkan M
1e-05 0.99999 I2526 balkan F
0.99999 1e-05 I1875 HG F
0.007715 0.992285 I5071 balkan F
1e-05 0.99999 I5072 balkan M
1e-05 0.99999 I5077 balkan M
1e-05 0.99999 I5078 balkan M
0.018155 0.981845 I0679_d balkan F
1e-05 0.99999 I2521 balkan M
0.003985 0.996015 I2529_published balkan M
1e-05 0.99999 I2937_all balkan F
1e-05 0.99999 I5427 balkan F
0.99999 1e-05 I3209 HG M
