V1,PC1,PC2,Ethnicity,Region
R17.SG,-0.0012,-0.0371,Neolithic,mediterranean
R18.SG,-0.0053,-0.032,Neolithic,mediterranean
R19.SG,-0.0027,-0.0333,Neolithic,mediterranean
R2.SG,-0.005,-0.0394,Neolithic,mediterranean
R3.SG,-0.0053,-0.0375,Neolithic,mediterranean
R6.SG,0.0156,-0.0503,Neolithic,mediterranean
R7.SG,0.1004,-0.0775,Mesolithic,HG
R8.SG,-0.0078,-0.0319,Neolithic,mediterranean
R9.SG,-0.0085,-0.0343,Neolithic,mediterranean
I1579_published,-0.0117,-0.0341,Neolithic,anatoliaEF
I1581_published,-0.0182,-0.041,Neolithic,anatoliaEF
I1580_published,-0.0131,-0.0317,Neolithic,anatoliaEF
I1585_published,-0.0117,-0.0321,Control,NA
I0854_published,-0.0139,-0.0354,Neolithic,anatoliaEF
I1298_published,-0.0089,-0.0392,Mesolithic,balkan
LON003,0.0106,-0.056,Neolithic,mediterranean
MA79,-0.0102,-0.0618,Neolithic,mediterranean
NOE001,0.0113,-0.0453,Neolithic,mediterranean
NOE002,0.0201,-0.0531,Neolithic,mediterranean
SID005,0.0099,-0.0526,Neolithic,mediterranean
PER503.SG,0.0935,-0.0708,Mesolithic,HG
PER3023.SG,0.0928,-0.0728,Mesolithic,HG
PER3123.SG,0.0899,-0.074,Mesolithic,HG
