site,culture,region,ID,species,n. of samples,d13C,unc,d15N,unc,%C,%N,C:N,reference,comment
Bischoffsheim,LBK,South Central,,Cattle,1.00,-23.50,0.20,7.4,0.30,,,,Denaire et al. 2017,
Kolbsheim,LBK,South Central,,Cattle,1.00,-22.80,0.20,9.1,0.30,,,,Denaire et al. 2017,
Entzheim,LBK,South Central,,Deer,1.00,-22.20,0.20,5.6,0.30,,,,Denaire et al. 2017,
Entzheim,LBK,South Central,,Cattle,1.00,-22.00,0.20,9.1,0.30,,,,Denaire et al. 2017,
Entzheim,LBK,South Central,,Cattle,1.00,-23.80,0.20,7.0,0.30,,,,Denaire et al. 2017,
Bischoffsheim,LBK,South Central,,Cattle,1.00,-21.60,0.20,9.8,0.30,,,,Denaire et al. 2017,
Entzheim,LBK,South Central,,Goat,1.00,-20.80,0.20,8.1,0.30,,,,Denaire et al. 2017,
Bischoffsheim,LBK,South Central,,Cattle,1.00,-21.40,0.20,9.6,0.30,,,,Denaire et al. 2017,
Entzheim,LBK,South Central,,Cattle,1.00,-20.80,0.20,9.0,0.30,,,,Denaire et al. 2017,
Entzheim,LBK,South Central,,Cattle,1.00,-21.50,0.20,10.0,0.30,,,,Denaire et al. 2017,
Bischoffsheim,LBK,South Central,,Sheep/goat,1.00,-21.70,0.20,8.5,0.30,,,,Denaire et al. 2017,
Rosheim,LBK,South Central,,Ovis,1.00,-21.20,0.20,9.2,0.30,,,,Denaire et al. 2017,
Rosheim,LBK,South Central,,Goat,1.00,-20.20,0.20,8.8,0.30,,,,Denaire et al. 2017,
Rosheim,LBK,South Central,,Sheep/goat,1.00,-19.70,0.20,10.5,0.30,,,,Denaire et al. 2017,
Entzheim,LBK,South Central,,Cattle,1.00,-21.20,0.20,8.9,0.30,,,,Denaire et al. 2017,
Stuttgart-Mühlhausen,LBK,South Central,,Cattle,1.00,-22.90,0.10,7.5,0.20,,,,Knipper 2020,
Stuttgart-Mühlhausen,LBK,South Central,,Cattle,1.00,-21.20,0.10,7.9,0.20,,,,Knipper 2020,
