dna_ID,isotope_ID,metric_ID,paleopath_ID,Country,Site,Region,Date,Latitude,Longitude,Sex,nealeClump_prs,siblingClump_prs,nealeLDpred_prs,siblingLDpred_prs,coverage,d13C,d15N,age,method,stature,femur_measured,femur_estimated,femur_method,LEH,PH,CO,dna_ref,metric_ref,isotope_ref,paleopath_ref,whgProp
,Halberstadt Sonntagsfeld 41,,1215,Germany,Halberstadt-Sonntagsfeld,North Central,6950,51.9,11.05,M,NA,NA,NA,NA,NA,-19.6,8.1,15.5,NA,NA,NA,NA,NA,Y,NA,Y,,,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
,Halberstadt Sonntagsfeld 7,,306,Germany,Halberstadt-Sonntagsfeld,North Central,6950,51.9,11.05,NA,NA,NA,NA,NA,NA,-20.5,9.1,9.5,NA,NA,NA,NA,NA,N,NA,NA,,,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
,Halberstadt Sonntagsfeld 8,,322,Germany,Halberstadt-Sonntagsfeld,North Central,6950,51.9,11.05,NA,NA,NA,NA,NA,NA,-19,10.3,3,NA,NA,NA,NA,NA,N,NA,NA,,,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
,Halberstadt Sonntagsfeld 9,,340,Germany,Halberstadt-Sonntagsfeld,North Central,6950,51.9,11.05,NA,NA,NA,NA,NA,NA,-20,10.5,15.5,NA,NA,NA,NA,NA,Y,NA,Y,,,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
,Herxheim 1,,,Germany,Herxheim,South Central,6950,49.14,8.21,M,NA,NA,NA,NA,NA,-19.8,9.6,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 10,,,Germany,Herxheim,South Central,6950,49.14,8.21,M,NA,NA,NA,NA,NA,-20.4,9.1,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 11,,,Germany,Herxheim,South Central,6950,49.14,8.21,M,NA,NA,NA,NA,NA,-20,7.8,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 12,,,Germany,Herxheim,South Central,6950,49.14,8.21,F,NA,NA,NA,NA,NA,-20.5,8.8,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 13,,,Germany,Herxheim,South Central,6950,49.14,8.21,F,NA,NA,NA,NA,NA,-20.3,10.2,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 14,,,Germany,Herxheim,South Central,6950,49.14,8.21,NA,NA,NA,NA,NA,NA,-20.1,10.5,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 15,,,Germany,Herxheim,South Central,6950,49.14,8.21,F,NA,NA,NA,NA,NA,-20,9.6,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 17,,,Germany,Herxheim,South Central,6950,49.14,8.21,F,NA,NA,NA,NA,NA,-20,9.7,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 18,,,Germany,Herxheim,South Central,6950,49.14,8.21,M,NA,NA,NA,NA,NA,-19.8,10.3,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 19,,,Germany,Herxheim,South Central,6950,49.14,8.21,F,NA,NA,NA,NA,NA,-19.6,11.5,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 2,,,Germany,Herxheim,South Central,6950,49.14,8.21,F,NA,NA,NA,NA,NA,-19.9,9,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 20,,,Germany,Herxheim,South Central,6950,49.14,8.21,F,NA,NA,NA,NA,NA,-20,8.9,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 21,,,Germany,Herxheim,South Central,6950,49.14,8.21,M,NA,NA,NA,NA,NA,-20.1,11.3,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 22,,,Germany,Herxheim,South Central,6950,49.14,8.21,F,NA,NA,NA,NA,NA,-19.8,10.7,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 3,,,Germany,Herxheim,South Central,6950,49.14,8.21,M,NA,NA,NA,NA,NA,-20.4,9.8,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 4,,,Germany,Herxheim,South Central,6950,49.14,8.21,M,NA,NA,NA,NA,NA,-20.1,10.1,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 5,,,Germany,Herxheim,South Central,6950,49.14,8.21,M,NA,NA,NA,NA,NA,-20.2,8.3,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 6,,,Germany,Herxheim,South Central,6950,49.14,8.21,M,NA,NA,NA,NA,NA,-19.8,10.3,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 7,,,Germany,Herxheim,South Central,6950,49.14,8.21,NA,NA,NA,NA,NA,NA,-20.6,8.8,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 8,,,Germany,Herxheim,South Central,6950,49.14,8.21,M,NA,NA,NA,NA,NA,-20.3,12.1,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Herxheim 9,,,Germany,Herxheim,South Central,6950,49.14,8.21,M,NA,NA,NA,NA,NA,-19.7,10.4,36.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Dürrwächter2006JArchSci,,NA
,Karsdorf 115,,Karsdorf_115,Germany,Karsdorf,North Central,7070,51.28,11.65,NA,NA,NA,NA,NA,NA,-19.9,8.4,3,NA,NA,NA,NA,NA,Y,NA,NA,,,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
,Karsdorf 192,,Karsdorf_192,Germany,Karsdorf,North Central,7070,51.28,11.65,NA,NA,NA,NA,NA,NA,-20.4,8.5,30,NA,NA,NA,NA,NA,N,Y,NA,,,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
,Karsdorf 301,,,Germany,Karsdorf,North Central,7070,51.28,11.65,NA,NA,NA,NA,NA,NA,-19.2,12.6,3,NA,NA,NA,NA,NA,NA,NA,NA,,,Oelze2011JArchSci; Münster2018PLoSOne,,NA
,Karsdorf 305,,,Germany,Karsdorf,North Central,7070,51.28,11.65,NA,NA,NA,NA,NA,NA,-19.7,8.5,3,NA,NA,NA,NA,NA,NA,NA,NA,,,Oelze2011JArchSci; Münster2018PLoSOne,,NA
,Karsdorf 430,,Karsdorf_430,Germany,Karsdorf,North Central,7070,51.28,11.65,F,NA,NA,NA,NA,NA,-20.1,8.4,30,NA,NA,NA,NA,NA,N,NA,NA,,,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
,Karsdorf 529,,,Germany,Karsdorf,North Central,7070,51.28,11.65,NA,NA,NA,NA,NA,NA,-20.2,8.1,9.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Oelze2011JArchSci; Münster2018PLoSOne,,NA
,Karsdorf 95,,Karsdorf_95,Germany,Karsdorf,North Central,7070,51.28,11.65,NA,NA,NA,NA,NA,NA,-20.1,10.8,15.5,NA,NA,NA,NA,NA,Y,N,Y,,,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
,Nieder-Mörlen NM1320,,,Germany,Nieder-Mörlen,South Central,7150,50.37,8.72,F,NA,NA,NA,NA,NA,-20.2,10,9.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Nieder-Mörlen NM2112,,,Germany,Nieder-Mörlen,South Central,7150,50.37,8.72,NA,NA,NA,NA,NA,NA,-21,9.6,9,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Nieder-Mörlen NM2399,,,Germany,Nieder-Mörlen,South Central,7150,50.37,8.72,NA,NA,NA,NA,NA,NA,-20.39,8.7,5,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Nieder-Mörlen NM89a,,,Germany,Nieder-Mörlen,South Central,7150,50.37,8.72,F,NA,NA,NA,NA,NA,-20.1,9.7,40,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 1255,,,Germany,Vaihingen an der Enz,South Central,7135,48.93,8.96,F,NA,NA,NA,NA,NA,-20.7,9.4,50,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 189,,,Germany,Vaihingen an der Enz,South Central,7235,48.93,8.96,F,NA,NA,NA,NA,NA,-20.5,10.1,15.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 2900,,,Germany,Vaihingen an der Enz,South Central,7135,48.93,8.96,NA,NA,NA,NA,NA,NA,-20.9,9.6,30,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 397,,,Germany,Vaihingen an der Enz,South Central,7235,48.93,8.96,M,NA,NA,NA,NA,NA,-20.6,8,50,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 398,,,Germany,Vaihingen an der Enz,South Central,7235,48.93,8.96,F,NA,NA,NA,NA,NA,-20.6,8.7,50,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 4330,,,Germany,Vaihingen an der Enz,South Central,7235,48.93,8.96,M,NA,NA,NA,NA,NA,-20.8,9.6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 655,,,Germany,Vaihingen an der Enz,South Central,7235,48.93,8.96,M,NA,NA,NA,NA,NA,-20.6,8.4,15.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 812,,,Germany,Vaihingen an der Enz,South Central,7235,48.93,8.96,NA,NA,NA,NA,NA,NA,-20.7,8.6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 813,,,Germany,Vaihingen an der Enz,South Central,7235,48.93,8.96,F,NA,NA,NA,NA,NA,-20.6,9.4,30,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 898,,,Germany,Vaihingen an der Enz,South Central,7135,48.93,8.96,F,NA,NA,NA,NA,NA,-20.6,9,50,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 899,,,Germany,Vaihingen an der Enz,South Central,7135,48.93,8.96,NA,NA,NA,NA,NA,NA,-20.6,9,50,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,Vaihingen an der Enz 983,,,Germany,Vaihingen an der Enz,South Central,7235,48.93,8.96,F,NA,NA,NA,NA,NA,-20.9,9,12.5,NA,NA,NA,NA,NA,NA,NA,NA,,,Scheibner2016monograph,,NA
,STMÜ I 43,Stuttgart-Mühlhausen I-43,Stuttgart-Mühlhausen I-43,Germany,Stuttgart-Mühlhausen,South Central,7030,48.84,9.21,M,NA,NA,NA,NA,NA,-20.5,10.1,32.5,Pearson1899,161.5,NA,42.66,Pearson1899,N,Y,N,,Hujic2016monograph,Knipper2019monographCh,Ash2016ScientificReports,NA
,Stuttgart-Mühlhausen II-22,,,Germany,Stuttgart-Mühlhausen,South Central,7030,48.84,9.21,F,NA,NA,NA,NA,NA,-21,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,,,b,,NA
,Stuttgart-Mühlhausen II-30,,,Germany,Stuttgart-Mühlhausen,South Central,7030,48.84,9.21,M,NA,NA,NA,NA,NA,-20.9,9,25,NA,NA,NA,NA,NA,NA,NA,NA,,,b,,NA
,Stuttgart-Mühlhausen II-54,,Stuttgart-Mühlhausen II-54,Germany,Stuttgart-Mühlhausen,South Central,7030,48.84,9.21,F,NA,NA,NA,NA,NA,-20.5,9.4,27.5,NA,NA,NA,NA,NA,Y,Y,N,,,b,Ash2016ScientificReports,NA
,Stuttgart-Mühlhausen II-57,,Stuttgart-Mühlhausen II-57,Germany,Stuttgart-Mühlhausen,South Central,7030,48.84,9.21,M,NA,NA,NA,NA,NA,-21.8,10.1,33,NA,NA,NA,NA,NA,Y,Y,N,,,b,Ash2016ScientificReports,NA
,Balatonszárszó-Kis-erdei-dűlő BA125,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-20.3,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő BA136,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-19.3,10.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő BA138,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-19.8,10.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő BA15/B,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-19.65,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő BA31/B,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-19.6,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_281,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,M,NA,NA,NA,NA,NA,-19.7,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_685,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,M,NA,NA,NA,NA,NA,-19.6,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_573,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,M,NA,NA,NA,NA,NA,-19.6,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,"Asparn an der Zaya/Schletz_119,79A",,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,M,NA,NA,NA,NA,NA,-19.6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,"Asparn an der Zaya/Schletz_75A,77",,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,M,NA,NA,NA,NA,NA,-19.5,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_649,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,NA,NA,NA,NA,NA,NA,-19.5,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_4518,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,M,NA,NA,NA,NA,NA,-19.5,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_2873,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,NA,NA,NA,NA,NA,NA,-20,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_558572,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,NA,NA,NA,NA,NA,NA,-20.3,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_5839,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,M,NA,NA,NA,NA,NA,-19.6,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_601,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,NA,NA,NA,NA,NA,NA,-19.6,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_345,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,NA,NA,NA,NA,NA,NA,-19.9,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_655,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,NA,NA,NA,NA,NA,NA,-19.5,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_285,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,NA,NA,NA,NA,NA,NA,-18.8,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_1996 7,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,NA,NA,NA,NA,NA,NA,-19.7,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_2490,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,F,NA,NA,NA,NA,NA,-19.4,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_360,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,M,NA,NA,NA,NA,NA,-19.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Asparn an der Zaya/Schletz_2526,,,Austria,Asparn an der Zaya/Schletz,South Central,7030,48.58,16.49,M,NA,NA,NA,NA,NA,-19.9,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"BickleCh8inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_278,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-20,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_288,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-19.9,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_289,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-20.1,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_510,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,M,NA,NA,NA,NA,NA,-20,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_531,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,M,NA,NA,NA,NA,NA,-19.9,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_554,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,F,NA,NA,NA,NA,NA,-19.7,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_711,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-19.1,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_712,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,M,NA,NA,NA,NA,NA,-19.9,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_766,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,M,NA,NA,NA,NA,NA,-20,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_767,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,M,NA,NA,NA,NA,NA,-19.9,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_768,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-20.2,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_769,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-20.2,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_770,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,M,NA,NA,NA,NA,NA,-20,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_771,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,M,NA,NA,NA,NA,NA,-19.7,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_772,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-19.6,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_773,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,F,NA,NA,NA,NA,NA,-20,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_774,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,F,NA,NA,NA,NA,NA,-20.1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_775,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-19.6,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_776,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,F,NA,NA,NA,NA,NA,-20,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_777,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,F,NA,NA,NA,NA,NA,-19.9,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_778,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,F,NA,NA,NA,NA,NA,-20.5,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_779,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,NA,NA,NA,NA,NA,NA,-19.3,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
,Balatonszárszó-Kis-erdei-dűlő_780,,,Hungary,Balatonszárszó-Kis-erdei-dűlő,South Central,7100,46.82,17.83,M,NA,NA,NA,NA,NA,-19.7,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"WhittleCh4inBickle&Whittle2013monograph, Ash2016ScientificReports",,NA
